city,year,weekofyear,total_cases
sj,2008,18,10
sj,2008,19,11
sj,2008,20,23
sj,2008,21,24
sj,2008,22,27
sj,2008,23,27
sj,2008,24,29
sj,2008,25,27
sj,2008,26,29
sj,2008,27,30
sj,2008,28,31
sj,2008,29,32
sj,2008,30,36
sj,2008,31,45
sj,2008,32,46
sj,2008,33,53
sj,2008,34,49
sj,2008,35,48
sj,2008,36,63
sj,2008,37,54
sj,2008,38,43
sj,2008,39,50
sj,2008,40,42
sj,2008,41,45
sj,2008,42,43
sj,2008,43,34
sj,2008,44,46
sj,2008,45,44
sj,2008,46,44
sj,2008,47,27
sj,2008,48,23
sj,2008,49,27
sj,2008,50,25
sj,2008,51,22
sj,2008,52,25
sj,2009,1,16
sj,2009,2,13
sj,2009,3,13
sj,2009,4,13
sj,2009,5,12
sj,2009,6,11
sj,2009,7,10
sj,2009,8,10
sj,2009,9,10
sj,2009,10,9
sj,2009,11,10
sj,2009,12,9
sj,2009,13,9
sj,2009,14,8
sj,2009,15,9
sj,2009,16,9
sj,2009,17,10
sj,2009,18,11
sj,2009,19,11
sj,2009,20,10
sj,2009,21,10
sj,2009,22,14
sj,2009,23,27
sj,2009,24,25
sj,2009,25,28
sj,2009,26,29
sj,2009,27,30
sj,2009,28,32
sj,2009,29,34
sj,2009,30,38
sj,2009,31,44
sj,2009,32,47
sj,2009,33,47
sj,2009,34,51
sj,2009,35,49
sj,2009,36,54
sj,2009,37,43
sj,2009,38,51
sj,2009,39,44
sj,2009,40,50
sj,2009,41,49
sj,2009,42,49
sj,2009,43,48
sj,2009,44,49
sj,2009,45,46
sj,2009,46,44
sj,2009,47,48
sj,2009,48,41
sj,2009,49,44
sj,2009,50,45
sj,2009,51,31
sj,2009,52,28
sj,2010,53,31
sj,2010,1,13
sj,2010,2,13
sj,2010,3,15
sj,2010,4,14
sj,2010,5,11
sj,2010,6,12
sj,2010,7,12
sj,2010,8,13
sj,2010,9,16
sj,2010,10,9
sj,2010,11,9
sj,2010,12,28
sj,2010,13,27
sj,2010,14,12
sj,2010,15,10
sj,2010,16,11
sj,2010,17,27
sj,2010,18,28
sj,2010,19,25
sj,2010,20,28
sj,2010,21,29
sj,2010,22,42
sj,2010,23,43
sj,2010,24,32
sj,2010,25,37
sj,2010,26,39
sj,2010,27,44
sj,2010,28,46
sj,2010,29,47
sj,2010,30,53
sj,2010,31,61
sj,2010,32,81
sj,2010,33,77
sj,2010,34,82
sj,2010,35,76
sj,2010,36,78
sj,2010,37,71
sj,2010,38,68
sj,2010,39,67
sj,2010,40,68
sj,2010,41,74
sj,2010,42,69
sj,2010,43,62
sj,2010,44,58
sj,2010,45,57
sj,2010,46,39
sj,2010,47,43
sj,2010,48,40
sj,2010,49,41
sj,2010,50,41
sj,2010,51,38
sj,2011,52,44
sj,2011,1,14
sj,2011,2,13
sj,2011,3,13
sj,2011,4,13
sj,2011,5,11
sj,2011,6,11
sj,2011,7,11
sj,2011,8,10
sj,2011,9,10
sj,2011,10,9
sj,2011,11,8
sj,2011,12,9
sj,2011,13,9
sj,2011,14,9
sj,2011,15,9
sj,2011,16,10
sj,2011,17,10
sj,2011,18,10
sj,2011,19,10
sj,2011,20,10
sj,2011,21,13
sj,2011,22,28
sj,2011,23,26
sj,2011,24,44
sj,2011,25,41
sj,2011,26,40
sj,2011,27,39
sj,2011,28,36
sj,2011,29,34
sj,2011,30,56
sj,2011,31,52
sj,2011,32,85
sj,2011,33,71
sj,2011,34,82
sj,2011,35,72
sj,2011,36,71
sj,2011,37,72
sj,2011,38,69
sj,2011,39,65
sj,2011,40,69
sj,2011,41,64
sj,2011,42,62
sj,2011,43,59
sj,2011,44,64
sj,2011,45,61
sj,2011,46,57
sj,2011,47,43
sj,2011,48,39
sj,2011,49,41
sj,2011,50,43
sj,2011,51,41
sj,2012,52,40
sj,2012,1,14
sj,2012,2,14
sj,2012,3,14
sj,2012,4,13
sj,2012,5,11
sj,2012,6,10
sj,2012,7,10
sj,2012,8,11
sj,2012,9,10
sj,2012,10,9
sj,2012,11,10
sj,2012,12,11
sj,2012,13,10
sj,2012,14,9
sj,2012,15,12
sj,2012,16,9
sj,2012,17,9
sj,2012,18,13
sj,2012,19,10
sj,2012,20,23
sj,2012,21,12
sj,2012,22,25
sj,2012,23,29
sj,2012,24,28
sj,2012,25,30
sj,2012,26,29
sj,2012,27,31
sj,2012,28,32
sj,2012,29,35
sj,2012,30,48
sj,2012,31,53
sj,2012,32,59
sj,2012,33,76
sj,2012,34,74
sj,2012,35,66
sj,2012,36,67
sj,2012,37,67
sj,2012,38,67
sj,2012,39,73
sj,2012,40,70
sj,2012,41,64
sj,2012,42,67
sj,2012,43,69
sj,2012,44,71
sj,2012,45,62
sj,2012,46,58
sj,2012,47,62
sj,2012,48,50
sj,2012,49,44
sj,2012,50,41
sj,2012,51,41
sj,2013,1,14
sj,2013,2,14
sj,2013,3,14
sj,2013,4,13
sj,2013,5,12
sj,2013,6,10
sj,2013,7,10
sj,2013,8,10
sj,2013,9,10
sj,2013,10,10
sj,2013,11,9
sj,2013,12,9
sj,2013,13,11
sj,2013,14,10
sj,2013,15,12
sj,2013,16,12
sj,2013,17,9
iq,2010,26,4
iq,2010,27,3
iq,2010,28,6
iq,2010,29,3
iq,2010,30,3
iq,2010,31,4
iq,2010,32,4
iq,2010,33,3
iq,2010,34,4
iq,2010,35,7
iq,2010,36,4
iq,2010,37,4
iq,2010,38,11
iq,2010,39,7
iq,2010,40,13
iq,2010,41,9
iq,2010,42,18
iq,2010,43,12
iq,2010,44,10
iq,2010,45,17
iq,2010,46,18
iq,2010,47,14
iq,2010,48,12
iq,2010,49,10
iq,2010,50,16
iq,2010,51,13
iq,2011,52,12
iq,2011,1,19
iq,2011,2,14
iq,2011,3,18
iq,2011,4,18
iq,2011,5,15
iq,2011,6,18
iq,2011,7,16
iq,2011,8,17
iq,2011,9,14
iq,2011,10,13
iq,2011,11,10
iq,2011,12,8
iq,2011,13,8
iq,2011,14,7
iq,2011,15,7
iq,2011,16,5
iq,2011,17,5
iq,2011,18,6
iq,2011,19,3
iq,2011,20,4
iq,2011,21,4
iq,2011,22,3
iq,2011,23,3
iq,2011,24,4
iq,2011,25,2
iq,2011,26,2
iq,2011,27,2
iq,2011,28,2
iq,2011,29,3
iq,2011,30,2
iq,2011,31,4
iq,2011,32,5
iq,2011,33,3
iq,2011,34,3
iq,2011,35,3
iq,2011,36,3
iq,2011,37,5
iq,2011,38,7
iq,2011,39,7
iq,2011,40,8
iq,2011,41,10
iq,2011,42,10
iq,2011,43,19
iq,2011,44,12
iq,2011,45,18
iq,2011,46,16
iq,2011,47,10
iq,2011,48,12
iq,2011,49,12
iq,2011,50,28
iq,2011,51,21
iq,2012,52,8
iq,2012,1,19
iq,2012,2,15
iq,2012,3,18
iq,2012,4,18
iq,2012,5,17
iq,2012,6,15
iq,2012,7,20
iq,2012,8,16
iq,2012,9,18
iq,2012,10,12
iq,2012,11,6
iq,2012,12,5
iq,2012,13,7
iq,2012,14,5
iq,2012,15,6
iq,2012,16,8
iq,2012,17,7
iq,2012,18,5
iq,2012,19,2
iq,2012,20,6
iq,2012,21,2
iq,2012,22,3
iq,2012,23,2
iq,2012,24,3
iq,2012,25,3
iq,2012,26,4
iq,2012,27,2
iq,2012,28,4
iq,2012,29,4
iq,2012,30,5
iq,2012,31,2
iq,2012,32,3
iq,2012,33,3
iq,2012,34,6
iq,2012,35,4
iq,2012,36,3
iq,2012,37,5
iq,2012,38,6
iq,2012,39,10
iq,2012,40,10
iq,2012,41,10
iq,2012,42,12
iq,2012,43,14
iq,2012,44,12
iq,2012,45,11
iq,2012,46,17
iq,2012,47,17
iq,2012,48,11
iq,2012,49,15
iq,2012,50,11
iq,2012,51,11
iq,2013,1,16
iq,2013,2,21
iq,2013,3,20
iq,2013,4,17
iq,2013,5,17
iq,2013,6,14
iq,2013,7,16
iq,2013,8,14
iq,2013,9,17
iq,2013,10,13
iq,2013,11,8
iq,2013,12,8
iq,2013,13,7
iq,2013,14,7
iq,2013,15,6
iq,2013,16,6
iq,2013,17,7
iq,2013,18,4
iq,2013,19,6
iq,2013,20,6
iq,2013,21,3
iq,2013,22,6
iq,2013,23,3
iq,2013,24,2
iq,2013,25,3
iq,2013,26,3
